File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,BWT Zipped File Size,Compression Ratio (BWT Text)
Output0.zip,1000,654,1.529051988,OutputBWT0.zip,1000,665,1.503759398
Output1.zip,1000,651,1.53609831,OutputBWT1.zip,1000,664,1.506024096
Output10.zip,1000,659,1.517450683,OutputBWT10.zip,1000,661,1.512859304
Output11.zip,1000,658,1.519756839,OutputBWT11.zip,1000,664,1.506024096
Output12.zip,1000,661,1.512859304,OutputBWT12.zip,1000,662,1.510574018
Output13.zip,1000,657,1.522070015,OutputBWT13.zip,1000,665,1.503759398
Output14.zip,1000,658,1.519756839,OutputBWT14.zip,1000,661,1.512859304
Output15.zip,1000,658,1.519756839,OutputBWT15.zip,1000,661,1.512859304
Output16.zip,1000,657,1.522070015,OutputBWT16.zip,1000,664,1.506024096
Output17.zip,1000,658,1.519756839,OutputBWT17.zip,1000,660,1.515151515
Output18.zip,1000,659,1.517450683,OutputBWT18.zip,1000,664,1.506024096
Output19.zip,1000,660,1.515151515,OutputBWT19.zip,1000,662,1.510574018
Output2.zip,1000,655,1.526717557,OutputBWT2.zip,1000,659,1.517450683
Output20.zip,1000,657,1.522070015,OutputBWT20.zip,1000,663,1.508295626
Output21.zip,1000,656,1.524390244,OutputBWT21.zip,1000,664,1.506024096
Output22.zip,1000,656,1.524390244,OutputBWT22.zip,1000,661,1.512859304
Output23.zip,1000,660,1.515151515,OutputBWT23.zip,1000,666,1.501501502
Output24.zip,1000,657,1.522070015,OutputBWT24.zip,1000,661,1.512859304
Output25.zip,1000,654,1.529051988,OutputBWT25.zip,1000,662,1.510574018
Output26.zip,1000,657,1.522070015,OutputBWT26.zip,1000,663,1.508295626
Output27.zip,1000,658,1.519756839,OutputBWT27.zip,1000,663,1.508295626
Output28.zip,1000,658,1.519756839,OutputBWT28.zip,1000,665,1.503759398
Output29.zip,1000,656,1.524390244,OutputBWT29.zip,1000,662,1.510574018
Output3.zip,1000,655,1.526717557,OutputBWT3.zip,1000,658,1.519756839
Output30.zip,1000,658,1.519756839,OutputBWT30.zip,1000,665,1.503759398
Output31.zip,1000,659,1.517450683,OutputBWT31.zip,1000,664,1.506024096
Output32.zip,1000,658,1.519756839,OutputBWT32.zip,1000,663,1.508295626
Output33.zip,1000,657,1.522070015,OutputBWT33.zip,1000,659,1.517450683
Output34.zip,1000,659,1.517450683,OutputBWT34.zip,1000,665,1.503759398
