File Name,File Size,Zipped File Size (non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,691,1.447178003,OutputBWT0.zip,1000,696,1.436781609
Output1.zip,1000,689,1.447178003,OutputBWT1.zip,1000,693,1.443001443
Output10.zip,1000,690,1.45137881,OutputBWT10.zip,1000,695,1.438848921
Output11.zip,1000,687,1.449275362,OutputBWT11.zip,1000,701,1.426533524
Output12.zip,1000,690,1.455604076,OutputBWT12.zip,1000,697,1.43472023
Output13.zip,1000,691,1.449275362,OutputBWT13.zip,1000,697,1.43472023
Output14.zip,1000,693,1.447178003,OutputBWT14.zip,1000,697,1.43472023
Output15.zip,1000,692,1.443001443,OutputBWT15.zip,1000,701,1.426533524
Output16.zip,1000,692,1.445086705,OutputBWT16.zip,1000,697,1.43472023
Output17.zip,1000,693,1.445086705,OutputBWT17.zip,1000,696,1.436781609
Output18.zip,1000,689,1.443001443,OutputBWT18.zip,1000,697,1.43472023
Output19.zip,1000,691,1.45137881,OutputBWT19.zip,1000,699,1.430615165
Output2.zip,1000,689,1.447178003,OutputBWT2.zip,1000,694,1.44092219
Output20.zip,1000,690,1.45137881,OutputBWT20.zip,1000,698,1.432664756
Output21.zip,1000,688,1.449275362,OutputBWT21.zip,1000,695,1.438848921
Output22.zip,1000,688,1.453488372,OutputBWT22.zip,1000,694,1.44092219
Output23.zip,1000,692,1.453488372,OutputBWT23.zip,1000,700,1.428571429
Output24.zip,1000,693,1.445086705,OutputBWT24.zip,1000,696,1.436781609
Output25.zip,1000,692,1.443001443,OutputBWT25.zip,1000,698,1.432664756
Output26.zip,1000,695,1.445086705,OutputBWT26.zip,1000,695,1.438848921
Output27.zip,1000,693,1.438848921,OutputBWT27.zip,1000,697,1.43472023
Output28.zip,1000,690,1.443001443,OutputBWT28.zip,1000,698,1.432664756
Output29.zip,1000,692,1.449275362,OutputBWT29.zip,1000,697,1.43472023
Output3.zip,1000,689,1.445086705,OutputBWT3.zip,1000,690,1.449275362
Output30.zip,1000,692,1.45137881,OutputBWT30.zip,1000,700,1.428571429
Output31.zip,1000,688,1.445086705,OutputBWT31.zip,1000,697,1.43472023
Output32.zip,1000,688,1.453488372,OutputBWT32.zip,1000,697,1.43472023
Output33.zip,1000,693,1.453488372,OutputBWT33.zip,1000,697,1.43472023
Output34.zip,1000,692,1.443001443,OutputBWT34.zip,1000,696,1.436781609
Output35.zip,1000,690,1.445086705,OutputBWT35.zip,1000,699,1.430615165
Output36.zip,1000,692,1.449275362,OutputBWT36.zip,1000,696,1.436781609
Output37.zip,1000,689,1.445086705,OutputBWT37.zip,1000,697,1.43472023
Output38.zip,1000,689,1.45137881,OutputBWT38.zip,1000,696,1.436781609
Output39.zip,1000,692,1.45137881,OutputBWT39.zip,1000,694,1.44092219
Output4.zip,1000,691,1.445086705,OutputBWT4.zip,1000,695,1.438848921
Output40.zip,1000,688,1.447178003,OutputBWT40.zip,1000,695,1.438848921
Output41.zip,1000,693,1.453488372,OutputBWT41.zip,1000,699,1.430615165
Output42.zip,1000,690,1.443001443,OutputBWT42.zip,1000,699,1.430615165
