File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Size,File Name,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,359,2.78551532,1000,OutputBWT0.zip,361,2.770083102
Output1.zip,1000,354,2.824858757,1000,OutputBWT1.zip,363,2.754820937
Output10.zip,1000,362,2.762430939,1000,OutputBWT10.zip,371,2.69541779
Output11.zip,1000,358,2.793296089,1000,OutputBWT11.zip,365,2.739726027
Output12.zip,1000,360,2.777777778,1000,OutputBWT12.zip,368,2.717391304
Output13.zip,1000,357,2.801120448,1000,OutputBWT13.zip,367,2.72479564
Output14.zip,1000,361,2.770083102,1000,OutputBWT14.zip,362,2.762430939
Output15.zip,1000,365,2.739726027,1000,OutputBWT15.zip,362,2.762430939
Output16.zip,1000,355,2.816901408,1000,OutputBWT16.zip,366,2.732240437
Output17.zip,1000,355,2.816901408,1000,OutputBWT17.zip,362,2.762430939
Output18.zip,1000,360,2.777777778,1000,OutputBWT18.zip,365,2.739726027
Output19.zip,1000,356,2.808988764,1000,OutputBWT19.zip,365,2.739726027
Output2.zip,1000,357,2.801120448,1000,OutputBWT2.zip,359,2.78551532
Output20.zip,1000,360,2.777777778,1000,OutputBWT20.zip,362,2.762430939
Output21.zip,1000,353,2.83286119,1000,OutputBWT21.zip,362,2.762430939
Output22.zip,1000,357,2.801120448,1000,OutputBWT22.zip,367,2.72479564
Output23.zip,1000,357,2.801120448,1000,OutputBWT23.zip,366,2.732240437
Output24.zip,1000,358,2.793296089,1000,OutputBWT24.zip,370,2.702702703
Output25.zip,1000,358,2.793296089,1000,OutputBWT25.zip,363,2.754820937
Output26.zip,1000,356,2.808988764,1000,OutputBWT26.zip,364,2.747252747
Output27.zip,1000,356,2.808988764,1000,OutputBWT27.zip,367,2.72479564
Output28.zip,1000,357,2.801120448,1000,OutputBWT28.zip,366,2.732240437
Output29.zip,1000,353,2.83286119,1000,OutputBWT29.zip,360,2.777777778
Output3.zip,1000,356,2.808988764,1000,OutputBWT3.zip,362,2.762430939
Output30.zip,1000,356,2.808988764,1000,OutputBWT30.zip,368,2.717391304
Output31.zip,1000,359,2.78551532,1000,OutputBWT31.zip,362,2.762430939
Output32.zip,1000,361,2.770083102,1000,OutputBWT32.zip,371,2.69541779
Output33.zip,1000,359,2.78551532,1000,OutputBWT33.zip,364,2.747252747
Output34.zip,1000,358,2.793296089,1000,OutputBWT34.zip,362,2.762430939
Output35.zip,1000,354,2.824858757,1000,OutputBWT35.zip,361,2.770083102
Output36.zip,1000,358,2.793296089,1000,OutputBWT36.zip,365,2.739726027
Output37.zip,1000,356,2.808988764,1000,OutputBWT37.zip,366,2.732240437
Output38.zip,1000,362,2.762430939,1000,OutputBWT38.zip,371,2.69541779
Output39.zip,1000,361,2.770083102,1000,OutputBWT39.zip,371,2.69541779
Output4.zip,1000,353,2.83286119,1000,OutputBWT4.zip,357,2.801120448
Output40.zip,1000,354,2.824858757,1000,OutputBWT40.zip,359,2.78551532
Output41.zip,1000,362,2.762430939,1000,OutputBWT41.zip,365,2.739726027
Output42.zip,1000,362,2.762430939,1000,OutputBWT42.zip,357,2.801120448
Output43.zip,1000,358,2.793296089,1000,OutputBWT43.zip,365,2.739726027
Output44.zip,1000,363,2.754820937,1000,OutputBWT44.zip,363,2.754820937
Output45.zip,1000,358,2.793296089,1000,OutputBWT45.zip,364,2.747252747
Output46.zip,1000,361,2.770083102,1000,OutputBWT46.zip,366,2.732240437
Output47.zip,1000,354,2.824858757,1000,OutputBWT47.zip,361,2.770083102
Output48.zip,1000,358,2.793296089,1000,OutputBWT48.zip,363,2.754820937
Output49.zip,1000,360,2.777777778,1000,OutputBWT49.zip,363,2.754820937
Output5.zip,1000,360,2.777777778,1000,OutputBWT5.zip,367,2.72479564
Output50.zip,1000,357,2.801120448,1000,OutputBWT50.zip,361,2.770083102
Output51.zip,1000,356,2.808988764,1000,OutputBWT51.zip,364,2.747252747
Output52.zip,1000,355,2.816901408,1000,OutputBWT52.zip,360,2.777777778
Output53.zip,1000,356,2.808988764,1000,OutputBWT53.zip,363,2.754820937
Output54.zip,1000,360,2.777777778,1000,OutputBWT54.zip,365,2.739726027
Output55.zip,1000,358,2.793296089,1000,OutputBWT55.zip,364,2.747252747
Output56.zip,1000,357,2.801120448,1000,OutputBWT56.zip,368,2.717391304
Output57.zip,1000,359,2.78551532,1000,OutputBWT57.zip,369,2.7100271
