File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,741,1.349527665,OutputBWT0.zip,1000,750,1.333333333
Output1.zip,1000,744,1.344086022,OutputBWT1.zip,1000,752,1.329787234
Output10.zip,1000,742,1.347708895,OutputBWT10.zip,1000,743,1.34589502
Output11.zip,1000,742,1.347708895,OutputBWT11.zip,1000,751,1.331557923
Output12.zip,1000,743,1.34589502,OutputBWT12.zip,1000,749,1.335113485
Output13.zip,1000,744,1.344086022,OutputBWT13.zip,1000,749,1.335113485
Output14.zip,1000,741,1.349527665,OutputBWT14.zip,1000,749,1.335113485
Output15.zip,1000,743,1.34589502,OutputBWT15.zip,1000,751,1.331557923
Output16.zip,1000,746,1.340482574,OutputBWT16.zip,1000,749,1.335113485
Output17.zip,1000,744,1.344086022,OutputBWT17.zip,1000,751,1.331557923
Output18.zip,1000,741,1.349527665,OutputBWT18.zip,1000,747,1.338688086
Output19.zip,1000,741,1.349527665,OutputBWT19.zip,1000,747,1.338688086
Output2.zip,1000,742,1.347708895,OutputBWT2.zip,1000,748,1.336898396
Output20.zip,1000,743,1.34589502,OutputBWT20.zip,1000,750,1.333333333
Output21.zip,1000,743,1.34589502,OutputBWT21.zip,1000,751,1.331557923
Output22.zip,1000,745,1.342281879,OutputBWT22.zip,1000,749,1.335113485
Output23.zip,1000,744,1.344086022,OutputBWT23.zip,1000,747,1.338688086
Output24.zip,1000,744,1.344086022,OutputBWT24.zip,1000,750,1.333333333
Output25.zip,1000,743,1.34589502,OutputBWT25.zip,1000,747,1.338688086
Output26.zip,1000,741,1.349527665,OutputBWT26.zip,1000,751,1.331557923
Output27.zip,1000,742,1.347708895,OutputBWT27.zip,1000,750,1.333333333
Output28.zip,1000,743,1.34589502,OutputBWT28.zip,1000,746,1.340482574
Output29.zip,1000,743,1.34589502,OutputBWT29.zip,1000,749,1.335113485
Output3.zip,1000,737,1.356852103,OutputBWT3.zip,1000,745,1.342281879
Output30.zip,1000,742,1.347708895,OutputBWT30.zip,1000,745,1.342281879
Output31.zip,1000,743,1.34589502,OutputBWT31.zip,1000,750,1.333333333
Output32.zip,1000,743,1.34589502,OutputBWT32.zip,1000,750,1.333333333
Output33.zip,1000,740,1.351351351,OutputBWT33.zip,1000,746,1.340482574
Output34.zip,1000,746,1.340482574,OutputBWT34.zip,1000,750,1.333333333
Output35.zip,1000,742,1.347708895,OutputBWT35.zip,1000,747,1.338688086
Output36.zip,1000,740,1.351351351,OutputBWT36.zip,1000,750,1.333333333
Output37.zip,1000,743,1.34589502,OutputBWT37.zip,1000,747,1.338688086
Output38.zip,1000,744,1.344086022,OutputBWT38.zip,1000,747,1.338688086
Output39.zip,1000,742,1.347708895,OutputBWT39.zip,1000,750,1.333333333
Output4.zip,1000,742,1.347708895,OutputBWT4.zip,1000,745,1.342281879
Output40.zip,1000,743,1.34589502,OutputBWT40.zip,1000,746,1.340482574
Output41.zip,1000,743,1.34589502,OutputBWT41.zip,1000,749,1.335113485
Output42.zip,1000,741,1.349527665,OutputBWT42.zip,1000,749,1.335113485
Output43.zip,1000,742,1.347708895,OutputBWT43.zip,1000,749,1.335113485
Output44.zip,1000,744,1.344086022,OutputBWT44.zip,1000,750,1.333333333
Output45.zip,1000,743,1.34589502,OutputBWT45.zip,1000,750,1.333333333
Output46.zip,1000,743,1.34589502,OutputBWT46.zip,1000,748,1.336898396
Output47.zip,1000,744,1.344086022,OutputBWT47.zip,1000,747,1.338688086
Output48.zip,1000,742,1.347708895,OutputBWT48.zip,1000,749,1.335113485
Output49.zip,1000,740,1.351351351,OutputBWT49.zip,1000,748,1.336898396
Output5.zip,1000,742,1.347708895,OutputBWT5.zip,1000,745,1.342281879
Output50.zip,1000,744,1.344086022,OutputBWT50.zip,1000,746,1.340482574
Output51.zip,1000,741,1.349527665,OutputBWT51.zip,1000,748,1.336898396
Output52.zip,1000,744,1.344086022,OutputBWT52.zip,1000,749,1.335113485
Output53.zip,1000,740,1.351351351,OutputBWT53.zip,1000,747,1.338688086
Output54.zip,1000,742,1.347708895,OutputBWT54.zip,1000,752,1.329787234
Output55.zip,1000,740,1.351351351,OutputBWT55.zip,1000,747,1.338688086
Output56.zip,1000,743,1.34589502,OutputBWT56.zip,1000,747,1.338688086
