File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),,,,Compression Ratio (BWT Text)
Output0.zip,1000,509,1.964636542,1000,OutputBWT0.zip,513,1.949317739
Output1.zip,1000,506,1.976284585,1000,OutputBWT1.zip,508,1.968503937
Output10.zip,1000,512,1.953125,1000,OutputBWT10.zip,520,1.923076923
Output11.zip,1000,513,1.949317739,1000,OutputBWT11.zip,516,1.937984496
Output12.zip,1000,509,1.964636542,1000,OutputBWT12.zip,519,1.926782274
Output13.zip,1000,503,1.988071571,1000,OutputBWT13.zip,508,1.968503937
Output14.zip,1000,505,1.98019802,1000,OutputBWT14.zip,513,1.949317739
Output15.zip,1000,507,1.972386588,1000,OutputBWT15.zip,513,1.949317739
Output16.zip,1000,511,1.956947162,1000,OutputBWT16.zip,520,1.923076923
Output17.zip,1000,511,1.956947162,1000,OutputBWT17.zip,520,1.923076923
Output18.zip,1000,508,1.968503937,1000,OutputBWT18.zip,512,1.953125
Output19.zip,1000,511,1.956947162,1000,OutputBWT19.zip,510,1.960784314
Output2.zip,1000,505,1.98019802,1000,OutputBWT2.zip,512,1.953125
Output20.zip,1000,511,1.956947162,1000,OutputBWT20.zip,511,1.956947162
Output21.zip,1000,509,1.964636542,1000,OutputBWT21.zip,513,1.949317739
Output22.zip,1000,511,1.956947162,1000,OutputBWT22.zip,515,1.941747573
Output23.zip,1000,503,1.988071571,1000,OutputBWT23.zip,509,1.964636542
Output24.zip,1000,509,1.964636542,1000,OutputBWT24.zip,518,1.930501931
Output25.zip,1000,514,1.945525292,1000,OutputBWT25.zip,513,1.949317739
Output26.zip,1000,507,1.972386588,1000,OutputBWT26.zip,512,1.953125
Output27.zip,1000,504,1.984126984,1000,OutputBWT27.zip,513,1.949317739
Output28.zip,1000,512,1.953125,1000,OutputBWT28.zip,516,1.937984496
Output29.zip,1000,510,1.960784314,1000,OutputBWT29.zip,512,1.953125
Output3.zip,1000,503,1.988071571,1000,OutputBWT3.zip,512,1.953125
Output30.zip,1000,515,1.941747573,1000,OutputBWT30.zip,520,1.923076923
Output31.zip,1000,504,1.984126984,1000,OutputBWT31.zip,515,1.941747573
Output32.zip,1000,514,1.945525292,1000,OutputBWT32.zip,513,1.949317739
Output33.zip,1000,510,1.960784314,1000,OutputBWT33.zip,519,1.926782274
Output34.zip,1000,508,1.968503937,1000,OutputBWT34.zip,521,1.919385797
Output35.zip,1000,508,1.968503937,1000,OutputBWT35.zip,512,1.953125
Output36.zip,1000,502,1.992031873,1000,OutputBWT36.zip,513,1.949317739
Output37.zip,1000,509,1.964636542,1000,OutputBWT37.zip,518,1.930501931
Output38.zip,1000,506,1.976284585,1000,OutputBWT38.zip,520,1.923076923
