File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,587,1.703577513,OutputBWT0.zip,1000,590,1.694915254
Output1.zip,1000,585,1.709401709,OutputBWT1.zip,1000,592,1.689189189
Output10.zip,1000,582,1.718213058,OutputBWT10.zip,1000,590,1.694915254
Output11.zip,1000,584,1.712328767,OutputBWT11.zip,1000,588,1.700680272
Output12.zip,1000,589,1.697792869,OutputBWT12.zip,1000,589,1.697792869
Output13.zip,1000,583,1.715265866,OutputBWT13.zip,1000,593,1.686340641
Output14.zip,1000,585,1.709401709,OutputBWT14.zip,1000,592,1.689189189
Output15.zip,1000,587,1.703577513,OutputBWT15.zip,1000,590,1.694915254
Output16.zip,1000,582,1.718213058,OutputBWT16.zip,1000,591,1.692047377
Output17.zip,1000,586,1.706484642,OutputBWT17.zip,1000,593,1.686340641
Output18.zip,1000,582,1.718213058,OutputBWT18.zip,1000,587,1.703577513
Output19.zip,1000,588,1.700680272,OutputBWT19.zip,1000,593,1.686340641
Output2.zip,1000,587,1.703577513,OutputBWT2.zip,1000,589,1.697792869
Output20.zip,1000,582,1.718213058,OutputBWT20.zip,1000,588,1.700680272
Output21.zip,1000,590,1.694915254,OutputBWT21.zip,1000,594,1.683501684
Output22.zip,1000,586,1.706484642,OutputBWT22.zip,1000,595,1.680672269
Output23.zip,1000,591,1.692047377,OutputBWT23.zip,1000,594,1.683501684
Output24.zip,1000,588,1.700680272,OutputBWT24.zip,1000,590,1.694915254
Output25.zip,1000,586,1.706484642,OutputBWT25.zip,1000,594,1.683501684
Output26.zip,1000,588,1.700680272,OutputBWT26.zip,1000,593,1.686340641
Output27.zip,1000,582,1.718213058,OutputBWT27.zip,1000,589,1.697792869
Output28.zip,1000,584,1.712328767,OutputBWT28.zip,1000,595,1.680672269
Output29.zip,1000,582,1.718213058,OutputBWT29.zip,1000,584,1.712328767
Output3.zip,1000,583,1.715265866,OutputBWT3.zip,1000,592,1.689189189
Output30.zip,1000,592,1.689189189,OutputBWT30.zip,1000,599,1.669449082
