File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,354,2.824858757,OutputBWT0.zip,1000,363,2.754820937
Output1.zip,1000,355,2.816901408,OutputBWT1.zip,1000,362,2.762430939
Output10.zip,1000,359,2.78551532,OutputBWT10.zip,1000,371,2.69541779
Output11.zip,1000,360,2.777777778,OutputBWT11.zip,1000,366,2.732240437
Output12.zip,1000,361,2.770083102,OutputBWT12.zip,1000,366,2.732240437
Output13.zip,1000,353,2.83286119,OutputBWT13.zip,1000,361,2.770083102
Output14.zip,1000,361,2.770083102,OutputBWT14.zip,1000,362,2.762430939
Output15.zip,1000,362,2.762430939,OutputBWT15.zip,1000,368,2.717391304
Output16.zip,1000,359,2.78551532,OutputBWT16.zip,1000,362,2.762430939
Output17.zip,1000,356,2.808988764,OutputBWT17.zip,1000,369,2.7100271
Output18.zip,1000,355,2.816901408,OutputBWT18.zip,1000,368,2.717391304
Output19.zip,1000,361,2.770083102,OutputBWT19.zip,1000,363,2.754820937
Output2.zip,1000,358,2.793296089,OutputBWT2.zip,1000,358,2.793296089
Output20.zip,1000,361,2.770083102,OutputBWT20.zip,1000,366,2.732240437
Output21.zip,1000,362,2.762430939,OutputBWT21.zip,1000,362,2.762430939
Output22.zip,1000,359,2.78551532,OutputBWT22.zip,1000,357,2.801120448
Output23.zip,1000,361,2.770083102,OutputBWT23.zip,1000,363,2.754820937
Output24.zip,1000,358,2.793296089,OutputBWT24.zip,1000,367,2.72479564
Output25.zip,1000,358,2.793296089,OutputBWT25.zip,1000,366,2.732240437
Output26.zip,1000,356,2.808988764,OutputBWT26.zip,1000,360,2.777777778
Output27.zip,1000,361,2.770083102,OutputBWT27.zip,1000,363,2.754820937
Output28.zip,1000,359,2.78551532,OutputBWT28.zip,1000,362,2.762430939
Output29.zip,1000,363,2.754820937,OutputBWT29.zip,1000,361,2.770083102
Output3.zip,1000,358,2.793296089,OutputBWT3.zip,1000,360,2.777777778
Output30.zip,1000,359,2.78551532,OutputBWT30.zip,1000,370,2.702702703
Output31.zip,1000,359,2.78551532,OutputBWT31.zip,1000,370,2.702702703
Output32.zip,1000,355,2.816901408,OutputBWT32.zip,1000,365,2.739726027
Output33.zip,1000,352,2.840909091,OutputBWT33.zip,1000,369,2.7100271
Output34.zip,1000,362,2.762430939,OutputBWT34.zip,1000,364,2.747252747
Output35.zip,1000,358,2.793296089,OutputBWT35.zip,1000,365,2.739726027
Output36.zip,1000,360,2.777777778,OutputBWT36.zip,1000,366,2.732240437
Output37.zip,1000,360,2.777777778,OutputBWT37.zip,1000,361,2.770083102
Output38.zip,1000,359,2.78551532,OutputBWT38.zip,1000,362,2.762430939
Output39.zip,1000,359,2.78551532,OutputBWT39.zip,1000,368,2.717391304
Output4.zip,1000,346,2.89017341,OutputBWT4.zip,1000,360,2.777777778
Output40.zip,1000,352,2.840909091,OutputBWT40.zip,1000,364,2.747252747
Output41.zip,1000,355,2.816901408,OutputBWT41.zip,1000,361,2.770083102
Output42.zip,1000,358,2.793296089,OutputBWT42.zip,1000,361,2.770083102
Output43.zip,1000,360,2.777777778,OutputBWT43.zip,1000,365,2.739726027
Output44.zip,1000,361,2.770083102,OutputBWT44.zip,1000,364,2.747252747
Output45.zip,1000,358,2.793296089,OutputBWT45.zip,1000,365,2.739726027
Output46.zip,1000,357,2.801120448,OutputBWT46.zip,1000,364,2.747252747
Output47.zip,1000,356,2.808988764,OutputBWT47.zip,1000,365,2.739726027
Output48.zip,1000,358,2.793296089,OutputBWT48.zip,1000,364,2.747252747
Output49.zip,1000,357,2.801120448,OutputBWT49.zip,1000,370,2.702702703
Output5.zip,1000,359,2.78551532,OutputBWT5.zip,1000,360,2.777777778
Output50.zip,1000,356,2.808988764,OutputBWT50.zip,1000,364,2.747252747
Output51.zip,1000,355,2.816901408,OutputBWT51.zip,1000,364,2.747252747
Output52.zip,1000,356,2.808988764,OutputBWT52.zip,1000,361,2.770083102
Output53.zip,1000,357,2.801120448,OutputBWT53.zip,1000,368,2.717391304
Output54.zip,1000,360,2.777777778,OutputBWT54.zip,1000,358,2.793296089
Output55.zip,1000,359,2.78551532,OutputBWT55.zip,1000,370,2.702702703
Output56.zip,1000,359,2.78551532,OutputBWT56.zip,1000,365,2.739726027
Output57.zip,1000,360,2.777777778,OutputBWT57.zip,1000,365,2.739726027
Output58.zip,1000,364,2.747252747,OutputBWT58.zip,1000,368,2.717391304
Output59.zip,1000,363,2.754820937,OutputBWT59.zip,1000,366,2.732240437
Output6.zip,1000,358,2.793296089,OutputBWT6.zip,1000,362,2.762430939
Output60.zip,1000,353,2.83286119,OutputBWT60.zip,1000,364,2.747252747
Output61.zip,1000,359,2.78551532,OutputBWT61.zip,1000,365,2.739726027
Output62.zip,1000,356,2.808988764,OutputBWT62.zip,1000,372,2.688172043
Output63.zip,1000,356,2.808988764,OutputBWT63.zip,1000,369,2.7100271
Output64.zip,1000,364,2.747252747,OutputBWT64.zip,1000,362,2.762430939
Output65.zip,1000,362,2.762430939,OutputBWT65.zip,1000,367,2.72479564
Output66.zip,1000,357,2.801120448,OutputBWT66.zip,1000,364,2.747252747
Output67.zip,1000,359,2.78551532,OutputBWT67.zip,1000,364,2.747252747
Output68.zip,1000,354,2.824858757,OutputBWT68.zip,1000,361,2.770083102
Output69.zip,1000,360,2.777777778,OutputBWT69.zip,1000,366,2.732240437
Output7.zip,1000,356,2.808988764,OutputBWT7.zip,1000,363,2.754820937
Output70.zip,1000,358,2.793296089,OutputBWT70.zip,1000,363,2.754820937
Output71.zip,1000,360,2.777777778,OutputBWT71.zip,1000,364,2.747252747
Output72.zip,1000,356,2.808988764,OutputBWT72.zip,1000,366,2.732240437
Output73.zip,1000,362,2.762430939,OutputBWT73.zip,1000,365,2.739726027
Output74.zip,1000,357,2.801120448,OutputBWT74.zip,1000,365,2.739726027
Output75.zip,1000,356,2.808988764,OutputBWT75.zip,1000,369,2.7100271
Output76.zip,1000,352,2.840909091,OutputBWT76.zip,1000,364,2.747252747
Output77.zip,1000,359,2.78551532,OutputBWT77.zip,1000,358,2.793296089
Output78.zip,1000,356,2.808988764,OutputBWT78.zip,1000,365,2.739726027
Output79.zip,1000,358,2.793296089,OutputBWT79.zip,1000,358,2.793296089
Output8.zip,1000,360,2.777777778,OutputBWT8.zip,1000,362,2.762430939
Output80.zip,1000,356,2.808988764,OutputBWT80.zip,1000,360,2.777777778
Output81.zip,1000,357,2.801120448,OutputBWT81.zip,1000,361,2.770083102
Output82.zip,1000,357,2.801120448,OutputBWT82.zip,1000,369,2.7100271
